Left_Image,Right_Image
201706_45905_114.3238643_30.48465517_270.jpg,201705_22083_114.2456895_30.6150915_270.jpg
201706_17146_114.4055576_30.43921451_270.jpg,201706_961_114.4282475_30.47330049_90.jpg
201706_8870_114.361962_30.50784852_180.jpg,201705_10920_114.4545998_30.41616362_90.jpg
201706_11611_114.4491197_30.50995224_270.jpg,201705_9164_114.2490257_30.63435201_90.jpg
201705_60831_114.1730546_30.6801304_90.jpg,201705_41233_114.290858_30.48812117_180.jpg
201706_22081_114.3303843_30.63590912_0.jpg,201706_13479_114.205384_30.47864199_0.jpg
201705_15972_114.3308972_30.58609138_90.jpg,201706_36293_114.151749_30.45825354_270.jpg
201706_4672_114.3567169_30.5389403_90.jpg,201705_25026_114.1926488_30.67209987_270.jpg
201705_31426_114.375809_30.61338601_180.jpg,201705_40018_114.385768_30.59531843_90.jpg
201706_18802_114.1360477_30.49181179_180.jpg,201705_59133_114.3018388_30.56073685_270.jpg
201705_9337_114.2597_30.42848445_90.jpg,201706_22438_114.2152074_30.65821873_90.jpg
201706_54917_114.2508851_30.60363903_270.jpg,201706_48327_114.2246915_30.50068274_90.jpg
201705_42412_114.3742626_30.5261005_270.jpg,201706_15709_114.4106278_30.47604938_180.jpg
201706_30023_114.2939784_30.52507374_270.jpg,201705_40043_114.3476455_30.58625087_0.jpg
201706_12796_114.1979359_30.59654751_90.jpg,201706_2149_114.3757603_30.51882998_270.jpg
201706_15334_114.3080133_30.51628199_90.jpg,201705_24938_114.4396605_30.57303501_0.jpg
201706_4225_114.4130988_30.42986048_270.jpg,201706_18540_114.3471718_30.52098942_90.jpg
201706_33201_114.2571224_30.6130124_180.jpg,201703_60574_114.3038672_30.38776177_180.jpg
201705_19385_114.3903155_30.52287145_90.jpg,201705_23375_114.2816087_30.6773844_0.jpg
